"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"242108829","2024 May 06 12:00:00 AM","2024 May 06 12:00:00 AM","2330","21","Topanga","2146","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1402","30","M","X","101","STREET",,,"IC","Invest Cont","740","998",,,"SHERMAN                      WY","ETON                         ST","34.201","-118.5955"
"240407635","2024 May 17 12:00:00 AM","2024 May 17 12:00:00 AM","0117","04","Hollenbeck","0437","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"4400    CATALPA                      ST",,"34.0636","-118.189"
"241107928","2024 May 06 12:00:00 AM","2024 May 05 12:00:00 AM","1100","11","Northeast","1101","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300","21","M","H","108","PARKING LOT",,,"IC","Invest Cont","740",,,,"ZOO                          DR","WESTERN HERITAGE             WY","34.1499","-118.2823"
"240509199","2024 May 28 12:00:00 AM","2024 May 27 12:00:00 AM","1500","05","Harbor","0564","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"IC","Invest Cont","510",,,,"300 W  5TH                          ST",,"33.7397","-118.2835"
"240310322","2024 May 08 12:00:00 AM","2024 May 05 12:00:00 AM","1140","03","Southwest","0376","2","901","VIOLATION OF RESTRAINING ORDER","0913 2038","39","F","W","501","SINGLE FAMILY DWELLING",,,"AO","Adult Other","901",,,,"3800 S  HOBART                       BL",,"34.0173","-118.3078"
"241211842","2024 May 20 12:00:00 AM","2024 May 19 12:00:00 AM","1800","12","77th Street","1266","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329","36","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","740",,,,"700 W  81ST                         ST",,"33.9655","-118.286"
"240407726","2024 May 22 12:00:00 AM","2024 May 21 12:00:00 AM","1315","04","Hollenbeck","0465","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"3000 E  5TH                          ST",,"34.0354","-118.2044"
"242109454","2024 May 30 12:00:00 AM","2024 May 30 12:00:00 AM","1019","21","Topanga","2103","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0325 0342","0","M","W","243","DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,"AO","Adult Other","343",,,,"8300    TOPANGA CANYON               BL",,"34.2259","-118.6126"
"241510539","2024 May 18 12:00:00 AM","2024 May 16 12:00:00 AM","2050","15","N Hollywood","1525","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0352 1822 0319 0345 0325","52","M","H","404","DEPARTMENT STORE",,,"IC","Invest Cont","442",,,,"6100    LAUREL CANYON                BL",,"34.1814","-118.3965"
"242108895","2024 May 08 12:00:00 AM","2024 May 07 12:00:00 AM","2330","21","Topanga","2115","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","0344 2032","38","F","W","207","BAR/COCKTAIL/NIGHTCLUB",,,"IC","Invest Cont","341",,,,"8200    CANOGA                       AV",,"34.2176","-118.6017"
