DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241507283,03/08/2024 12:00:00 AM,03/07/2024 12:00:00 AM,1700,15,N Hollywood,1501,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,ETHEL,KESWICK,34.209,-118.4178
241006280,03/04/2024 12:00:00 AM,03/03/2024 12:00:00 AM,2200,10,West Valley,1061,1,310,BURGLARY,0358 0375 1822 0344 1609,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,19500    VENTURA                      BL,,34.1728,-118.5578
240208166,03/26/2024 12:00:00 AM,03/26/2024 12:00:00 AM,1040,02,Rampart,0205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344 0325,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788
240507152,03/23/2024 12:00:00 AM,03/23/2024 12:00:00 AM,1245,05,Harbor,0513,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100,0,X,X,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,753,,,,25200    NORMANDIE                    AV,,33.7958,-118.2975
240307820,03/16/2024 12:00:00 AM,03/09/2024 12:00:00 AM,1030,03,Southwest,0355,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1822,23,F,H,104,DRIVEWAY,,,AO,Adult Other,745,,,,1900 W  JEFFERSON                    BL,,34.0255,-118.312
241507690,03/17/2024 12:00:00 AM,03/16/2024 12:00:00 AM,1100,15,N Hollywood,1587,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,24,M,H,139,AMUSEMENT PARK*,,,IC,Invest Cont,440,,,,100    UNIVERSAL HOLLYWOOD          DR,,34.1387,-118.3612
242007892,03/31/2024 12:00:00 AM,03/31/2024 12:00:00 AM,1015,20,Olympic,2031,1,761,BRANDISH WEAPON,1822 0334 0421 0432 2004 1402,74,M,B,210,RESTAURANT/FAST FOOD,204,FOLDING KNIFE,AA,Adult Arrest,761,930,998,,600 S  WESTERN                      AV,,34.0599,-118.3139
241307865,03/28/2024 12:00:00 AM,03/22/2024 12:00:00 AM,2330,13,Newton,1373,1,330,BURGLARY FROM VEHICLE,1609 0344 1307,24,M,H,101,STREET,,,IC,Invest Cont,330,,,,5200    AVALON                       BL,,33.9954,-118.2652
242007454,03/20/2024 12:00:00 AM,03/16/2024 12:00:00 AM,0200,20,Olympic,2023,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4TH                          ST,HARVARD                      BL,34.0672,-118.3041
240207240,03/03/2024 12:00:00 AM,03/03/2024 12:00:00 AM,1640,02,Rampart,0218,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,21,F,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,PARK                         AV,LEMOYNE                      ST,34.0757,-118.2605
241808230,03/31/2024 12:00:00 AM,03/31/2024 12:00:00 AM,1515,18,Southeast,1824,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0416 0447 0432,53,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,9900    AVALON                       BL,,33.9465,-118.2652
241807818,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,1000,18,Southeast,1841,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0445 0329,38,M,H,501,SINGLE FAMILY DWELLING,311,HAMMER,IC,Invest Cont,230,,,,800 W  IMPERIAL                     HY,,33.9367,-118.2871
240607457,03/17/2024 12:00:00 AM,03/16/2024 12:00:00 AM,2350,06,Hollywood,0669,1,310,BURGLARY,1822 2004 1501 0314 1606,37,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310,,,,FOUNTAIN,WESTERN,34.0949,-118.3092
240906831,03/15/2024 12:00:00 AM,03/11/2024 12:00:00 AM,1200,09,Van Nuys,0964,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
240406665,03/29/2024 12:00:00 AM,03/25/2024 12:00:00 AM,0800,04,Hollenbeck,0438,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5200    CHESTER                      ST,,34.0786,-118.1703
241508336,03/29/2024 12:00:00 AM,03/29/2024 12:00:00 AM,1840,15,N Hollywood,1557,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,27,F,B,406,OTHER STORE,,,AO,Adult Other,440,,,,4700    LANKERSHIM                   BL,,34.1557,-118.369
241306992,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2000,13,Newton,1309,2,860,BATTERY WITH SEXUAL CONTACT,0913 0444 1218 0500 0401 0400,38,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,OLYMPIC                      BL,SANTA FE                     AV,34.0256,-118.2299
241707388,03/14/2024 12:00:00 AM,03/14/2024 12:00:00 AM,1600,17,Devonshire,1764,2,624,BATTERY - SIMPLE ASSAULT,0416 2021 1202 0329 1822 1300,62,F,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,19500    PLUMMER                      ST,,34.2427,-118.5588
240109754,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1855,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,O,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
241307790,03/26/2024 12:00:00 AM,03/26/2024 12:00:00 AM,0815,13,Newton,1341,2,888,TRESPASSING,0910 2004,0,M,B,935,MTA - BLUE LINE - WASHINGTON,,,IC,Invest Cont,888,,,,FLOWER,37TH                         ST,34.0155,-118.2772
241907223,03/28/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1900,19,Mission,1921,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 0416,33,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,15400    EL CAJON                     ST,,34.3054,-118.4681
240308506,03/29/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1530,03,Southwest,0393,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1601 0344 1300 1822,37,M,B,101,STREET,,,IC,Invest Cont,420,,,,4300    LEIMERT                      BL,,34.0062,-118.3285
242006690,03/03/2024 12:00:00 AM,03/03/2024 12:00:00 AM,0840,20,Olympic,2002,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1802 0334 0443 0369 0432 1309 0913 0446,30,M,H,102,SIDEWALK,215,MACHETE,IC,Invest Cont,230,,,,WILTON,BEVERLY,34.0763,-118.3135
241900620,03/19/2024 12:00:00 AM,03/18/2024 12:00:00 AM,2250,19,Mission,1974,1,220,ATTEMPTED ROBBERY,0337 2004 1402 1822 0334,45,M,H,109,PARK/PLAYGROUND,112,TOY GUN,AA,Adult Arrest,220,998,,,RAYEN,KESTER,34.2318,-118.4575
240607095,03/08/2024 12:00:00 AM,03/08/2024 12:00:00 AM,1800,06,Hollywood,0639,1,210,ROBBERY,1202 0302 1822 0400 0344 0432,63,M,A,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,210,,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
240906908,03/17/2024 12:00:00 AM,03/17/2024 12:00:00 AM,0535,09,Van Nuys,0969,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,5000    COLDWATER CANYON             AV,,34.1613,-118.4138
240108630,03/06/2024 12:00:00 AM,03/05/2024 12:00:00 AM,0800,01,Central,0195,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  WASHINGTON                   BL,,34.0308,-118.2638
242007900,03/31/2024 12:00:00 AM,03/31/2024 12:00:00 AM,1640,20,Olympic,2026,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 S  CATALINA                     ST,,34.0691,-118.2954
240300677,03/19/2024 12:00:00 AM,03/19/2024 12:00:00 AM,0001,03,Southwest,0362,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 0408 0448 2002 0329 1813 1259 1402 0334,17,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,236,,,,4700    RODEO                        LN,,34.021,-118.3486
240606990,03/05/2024 12:00:00 AM,03/04/2024 12:00:00 AM,2300,06,Hollywood,0639,1,330,BURGLARY FROM VEHICLE,1501,56,M,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,1700 N  WESTERN                      AV,,34.1018,-118.3093
240706812,03/06/2024 12:00:00 AM,03/06/2024 12:00:00 AM,1645,07,Wilshire,0721,2,624,BATTERY - SIMPLE ASSAULT,1802 0913 1309 0416 0369,0,X,X,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,3RD                          ST,HAMEL                        RD,34.0736,-118.3817
240108579,03/05/2024 12:00:00 AM,03/01/2024 12:00:00 AM,2200,01,Central,0118,1,330,BURGLARY FROM VEHICLE,0344 1822,0,X,X,108,PARKING LOT,,,IC,Invest Cont,330,,,,100 E  BLOOM                        ST,,34.0647,-118.2302
240108460,03/04/2024 12:00:00 AM,03/04/2024 12:00:00 AM,1225,01,Central,0147,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 0448 0408 0401 1822,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,300 E  5TH                          ST,,34.0453,-118.2443
