"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"241210961","2024 Apr 29 12:00:00 AM","2024 Apr 29 12:00:00 AM","0945","12","77th Street","1251","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0421 1822","40","M","A","124","BUS STOP","307","VEHICLE","IC","Invest Cont","230",,,,"CRENSHAW","78TH                         ST","33.9691","-118.3309"
"240309191","2024 Apr 14 12:00:00 AM","2024 Apr 12 12:00:00 AM","1700","03","Southwest","0353","1","520","VEHICLE - ATTEMPT STOLEN","1822 1202 1402 0329","65","M","H","101","STREET",,,"IC","Invest Cont","520",,,,"3500 S  MUIRFIELD                    RD",,"34.0234","-118.3423"
"241210803","2024 Apr 15 12:00:00 AM","2024 Apr 15 12:00:00 AM","1645","12","77th Street","1256","1","210","ROBBERY","0344 1822","0","X","X","203","OTHER BUSINESS","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","210",,,,"900 W  FLORENCE                     AV",,"33.9746","-118.2892"
"241007333","2024 Apr 03 12:00:00 AM","2024 Apr 03 12:00:00 AM","0755","10","West Valley","1075","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"VENTURA","ETIWANDA","34.1669","-118.5313"
"241907956","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","0540","19","Mission","1971","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1402 0334 2004 1822 1202","71","F","H","101","STREET","502","BOW AND ARROW","IC","Invest Cont","230","998",,,"ORION","RAYEN","34.2319","-118.4719"
"241508654","2024 Apr 06 12:00:00 AM","2024 Apr 06 12:00:00 AM","1150","15","N Hollywood","1591","2","624","BATTERY - SIMPLE ASSAULT","1822 2003 0447 0445","43","M","O","102","SIDEWALK","500","UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other","624",,,,"12100    VENTURA                      BL",,"34.1436","-118.3953"
"240908129","2024 Apr 17 12:00:00 AM","2024 Apr 17 12:00:00 AM","1030","09","Van Nuys","0979","1","310","BURGLARY","1414 0344 0352 1609 0321 1607 1202","65","M","W","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","310",,,,"4400    VAN NOORD                    AV",,"34.1504","-118.415"
"240110183","2024 Apr 11 12:00:00 AM","2024 Apr 10 12:00:00 AM","1400","01","Central","0195","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"1800 S  MAIN                         ST",,"34.0316","-118.2641"
"241210339","2024 Apr 18 12:00:00 AM","2024 Apr 18 12:00:00 AM","2240","12","77th Street","1259","1","761","BRANDISH WEAPON","0334 0910","40","M","H","801","MTA BUS","207","OTHER KNIFE","IC","Invest Cont","761",,,,"76TH                         ST","CENTRAL","33.9712","-118.2564"
"240708068","2024 Apr 12 12:00:00 AM","2024 Apr 12 12:00:00 AM","2155","07","Wilshire","0733","1","330","BURGLARY FROM VEHICLE","0344 1822 0358 1609 1307 0352","24","F","H","101","STREET",,,"IC","Invest Cont","330",,,,"5900    WILSHIRE                     BL",,"34.0637","-118.3562"
"241209636","2024 Apr 07 12:00:00 AM","2024 Apr 07 12:00:00 AM","0320","12","77th Street","1267","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329","17","M","H","210","RESTAURANT/FAST FOOD",,,"AA","Adult Arrest","740",,,,"8500 S  FIGUEROA                     ST",,"33.9611","-118.2827"
"240907863","2024 Apr 11 12:00:00 AM","2024 Apr 08 12:00:00 AM","1000","09","Van Nuys","0935","2","900","VIOLATION OF COURT ORDER","2038 2000","47","F","O","101","STREET",,,"AA","Adult Arrest","900",,,,"14400    ERWIN                        ST",,"34.1837","-118.4422"
"241409750","2024 Apr 27 12:00:00 AM","2024 Apr 24 12:00:00 AM","2310","14","Pacific","1494","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 0344","35","M","O","212","TRANSPORTATION FACILITY (AIRPORT)","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","341",,,,"300    WORLD                        WY",,"33.9455","-118.4001"
"242108355","2024 Apr 24 12:00:00 AM","2024 Apr 24 12:00:00 AM","0130","21","Topanga","2118","2","946","OTHER MISCELLANEOUS CRIME","1501 0906","0","X","X","108","PARKING LOT",,,"IC","Invest Cont","946",,,,"MASON                        AV","ROSCOE                       BL","34.2201","-118.5798"
"241809535","2024 Apr 30 12:00:00 AM","2024 Apr 30 12:00:00 AM","1920","18","Southeast","1802","1","210","ROBBERY","0334 0302 0355 0345 1822","33","M","H","124","BUS STOP","102","HAND GUN","IC","Invest Cont","210",,,,"400 W  MANCHESTER                   AV",,"33.9601","-118.2811"
"241400741","2024 Apr 15 12:00:00 AM","2024 Apr 14 12:00:00 AM","1450","14","Pacific","1407","1","210","ROBBERY","2050 2052 0344 1822 1402 2047 0910","22","M","H","951","MTA - EXPO LINE - PALMS","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","JA","Juv Arrest","210","998",,,"10000    NATIONAL                     BL",,"34.0291","-118.4036"
"241308363","2024 Apr 14 12:00:00 AM","2024 Apr 14 12:00:00 AM","0200","13","Newton","1309","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"2000 E  WASHINGTON                   BL",,"34.0198","-118.2377"
"240209240","2024 Apr 26 12:00:00 AM","2024 Apr 01 12:00:00 AM","1830","02","Rampart","0281","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"101","STREET",,,"IC","Invest Cont","420",,,,"1100 S  LAKE                         ST",,"34.0508","-118.2819"
